,age,postcode,salary
0,33,02128,123245
1,58,02128,158746
2,52,02139,157150
3,55,02128,157333
4,45,02114,151219
5,55,02139,85789
6,36,02139,114293
7,39,02114,92609
8,48,02128,101453
9,40,02128,174331
10,52,02128,113705
11,38,02139,138097
12,40,02139,160786
13,22,02128,97765
14,55,02114,153962
15,23,02139,167335
16,44,02108,125297
17,23,02139,130420
18,47,02114,159746
19,21,02128,77341
20,34,02128,161260
21,33,02128,174910
22,34,02139,110511
23,50,02139,141792
24,27,02128,131525
25,45,02128,77228
26,55,02139,174456
27,50,02125,114337
28,56,02139,80529
29,47,02139,103516
30,52,02108,75788
31,50,02114,175816
32,34,02108,128932
33,43,02139,135122
34,21,02108,171854
35,27,02128,129400
36,34,02108,100898
37,40,02128,102405
38,46,02139,109633
39,21,02128,133728
40,21,02139,72693
41,32,02114,141564
42,30,02108,103302
43,41,02114,89099
44,54,02108,122116
45,45,02128,161839
46,39,02128,80704
47,28,02139,161200
48,52,02128,95574
49,21,02139,97836
50,46,02108,102224
51,25,02108,114621
52,41,02139,176736
53,29,02139,133720
54,52,02139,168117
55,34,02114,175851
56,36,02128,147377
57,57,02108,104855
58,52,02114,134691
59,22,02108,117235
60,31,02114,93941
61,43,02108,130511
62,45,02114,170504
63,47,02114,113811
64,55,02114,96183
65,50,02139,145313
66,38,02114,112907
67,48,02108,163606
68,21,02108,87331
69,49,02114,121156
70,58,02139,159900
71,20,02114,178546
72,32,02128,104312
73,28,02128,86211
74,48,02128,99054
75,38,02128,78168
76,32,02139,74669
77,28,02108,107851
78,27,02139,87227
79,45,02108,90808
80,34,02125,127258
81,54,02139,155794
82,44,02139,98823
83,25,02128,96663
84,20,02128,109356
85,43,02128,143526
86,56,02108,145971
87,32,02108,139593
88,56,02139,96916
89,44,02128,112675
90,56,02108,74338
91,41,02108,107671
92,38,02108,164082
93,22,02108,155927
94,43,02108,176695
95,56,02114,89864
96,37,02139,71796
97,41,02128,94517
98,34,02114,141343
99,58,02128,155639
